TRANSACTION_DATE,STORE_NAME,CATEGORY,NUMBER_OF_ITEMS,TOTAL_AMOUNT_SPENT($),FETCH_REWARDS_EARNED,SPECIAL_OFFER_BONUS(Y/N),EXCEPTION
08/07/2022,REMKE MARKETS,GROCERY,3,29.23,25,N,
08/07/2022,COSTCO,GROCERY,36,491.56,25,N,
08/10/2022,MAHARAJA INTERNATIONAL GROCERY,GROCERY,2,12.98,25,N,
08/18/2022,REMKE MARKETS,GROCERY,5,17.99,25,N,
8/18/22,CVS,GROCERY,1,11.65,25,N,
08/18/2022,COSTCO,GROCERY,1,148.38,25,N,
08/18/2022,THAWNG ASIAN GROCERY,GROCERY,5,28.13,35,N,
08/18/2022,COSTCO FUEL,GAS,1,58.41,25,N,
08/18/2022,TARGET,SHOPPING,14,133.34,25,N,
08/18/2022,BATH & BODY WORKS,SHOPPING,6,15.85,25,N,
08/19/2022,COSTCO,GROCERY,11,147.36,399,Y,
08/21/2022,COSTCO,GROCERY,2,29.05,25,N,
08/21/2022,OLIVE GARDEN,RESTAURANTS,13,66.39,25,N,
08/21/2022,MACY’S,SHOPPING,1,26.49,25,N,
9/7/2022,FAMILY PRACTICE CENTER,EXPENSES,0,25.00,0,N,OLD
09/09/2022,CVS,GROCERY,3,30.00,25,N,
09/11/2022,KROGER,GROCERY,62,173.65,511,Y,
09/18/2022,COSTCO,GROCERY,14,476.29,25,N,
09/19/2022,REMKE MARKETS,GROCERY,2,29.23,25,N,
09/20/2022,SPEEDWAY,GAS,1,54.90,25,N,
09/21/2022,MCDONALD’S,RESTAURANTS,2,10.15,25,N,
09/30/2022,COSTCO,GROCERY,18,203.04,25,N,
09/30/2022,KROGER,GROCERY,12,61.40,25,N,
09/30/2022,MAHARAJA INTERNATIONAL GROCERY,GROCERY,7,42.59,25,N,
